Mcqueen corre,Mcqueen habla,Mate habla,Mcqueen habla,Mcqueen corre,Mate pita,Mcqueen habla,Mcqueen habla,Mcqueen habla
Mate habla,Mate habla,Mcqueen habla,Mate habla,Mcqueen habla,Mcqueen habla,Mate habla,Mate habla,Mate habla
Mcqueen se asusta,Los dos caminan,Hacen carreritas,Mate invita gente,Personaje habla,Mate habla,Ven una produccion de cine,Discuten,Mcqueen habla
Mcqueen habla,Empieza a llover,Mate habla,Mcqueen habla,Mate habla,Hay camiones hablando,Mcqueen se impresiona,Se topan con cholos,Mate habla
Los demas personajes hablan,Ven un hotel,Escuchan ruido,Mate habla,Personaje se mueve,Mcqueen habla,Quieren contratar a Mcqueen,Mcqueen habla,Llegan a una boda
Mate habla,Mate se asusta,Un auto bala pasa al lado de ellos,La gente los interroga,Entran a un autolavado,Mate habla,Lo contratan,Mate habla,Llegan los invitados
Mcqueen habla,Mcqueen habla,Mate y Mcqueen van a un asentamiento,La gente habla de cosas raras xd,Van por la carretera,Los camiones cantan,Maquillan a Mcqueen,Los cholos los atacan,Mcqueen habla
Mate habla,Los saluda el recepcionista,Mcqueen habla,Mate habla,Mcqueen habla,Mate esta con ellos,Empieza el rodaje,Los cholos los llevan con su lider,Mate habla
Mcqueen habla,Mate se asusta,Mate habla,Los invitan a buscar a pie grande,Mate habla,Mate canta,Empiezan a actuar,La lider los invita a su clan,Llega la hermana de Mate
Mate habla,Mcqueen lo calma,Modifican a Mate,Mate habla,Ven un circo,Mcqueen regresa,Mcqueen se pone nervioso,Mate habla,La hermana habla
Mcqueen habla,El recepcionista habla,Mate habla,Mcqueen habla,Mcqueen se asusta,Los camiones se van,Hacen corte,Los quieren inicializar,Mcqueen habla
Mate habla,Mcqueen habla,Fusionan a Mate con un avion,Deciden acompañarlos,Salen payasos,Mcqueen y Mate se van,Mcqueen se equivoca,Los visten de cholos,Mate habla
Mate se asusta,Mate se asusta,Mate compit,La gente habla mientras caminan,Mate habla,Salen creditos,Hacen corte,Los ponen a hacer acrobacias,Mcqueen sale a pasear
Encuentran un dinoparque,Mate se duerme,Mate corre muy rapido,Mcqueen se queja,Se sientan,,Mcqueen se equivoca,Salen a rodar,Mate camina
Mcqueen se emociona,Mcqueen escucha ruidos,Mcqueen lo persigue,Mcqueen se pierde,Aparecen dos carros,,Hacen corte,Mcqueen habla,Mate da un discurso
Recuerdan cosas,Mcqueen se asusta,Mcqueen habla,Mcqueen camina solo,Los carros hablan,,Mcqueen se desanima,Mate habla,Mcqueen habla
Mcqueen habla,Mcqueen ve fantasmas,Mate habla,Mcqueen se asusta,Sale payaso,,Mate lo consuela,Se separan del grupo,Reflexionan
Mate habla,Mcqueen se atora en el pasillo,Mate se desarma,Algo persigue a Mcqueen,Mcqueen se asusta,,Contratan a Mate,Hablan con los cholos,Mate habla
Mcqueen habla,Los fantasmas lo persiguen,Mate sale volando,Mcqueen sale corriendo,Disparan un cañon,,Mcqueen habla,Se escapan del grupo,Salen creditos
Mcqueen recuerda un documental,Mcqueen entra al elevador,Mate habla con la muerte,Mcqueen queda inconciente,Hacen acrobacias,,Van a utileria,Llegan a una gasolinera,
Recorren el dinoparque,Los fantasmas lo persiguen,Mate vuelve a su cuerpo,Mcqueen despierta,Mate habla,,Mate sigue actuando,Los cholos se hacen buenos,
Mate habla,Mcqueen corre,Mate frena,Una extraña le habla,Mcqueen habla,,A la gente le gusta como actuan,Salen creditos,
Mate se asusta,Un carro asusta a Mcqueen,Mcqueen lo alcanza,La extraña le cuenta a Mcqueen su pasado,Payasos hablan,,Mate graba muchas peliculas,,
Una presentadora explica los fosiles,El carro lo persigue,Mcqueen habla,Mate los encuentra,Mcqueen habla,,Mcqueen habla,,
Mcqueen le pregunta,Mcqueen corre,Mate habla,La extraña los secuestra,Payasos hablan,,Mate habla,,
Mate se empieza a quedar dormido,Mate se despierta,La multitud los rodea,Les pide que se vayan,Mate señala a mcqueen,,Regresan a filmar,,
Mate empieza a soñar,Mate abre las cortinas,La multitud les hace pregunta,Mcqueen habla,Payasos hablan,,Los despiden,,
Mate se imagina dinosaurios,Mate habla,Mcqueen habla,Mate habla,Mcqueen habla,,La extraña vuelve y canta,,
Mcqueen le pide ayuda a Mate,Mcqueen habla,Mate reflexiona,La extraña habla,Personaje hace acrobacia,,Mate y Mcqueen se van,,
El dinosaurio los persigue,Sale un fantasma de un cuadro,Salen creditos,Les propone asustar a la gente,Mcqueen aplaude,,Salen creditos,,
Mate despierta,Salen creditos,,Asustan a la gente,Mate aplaude,,,,
Se van del museo,,,La gente se va,Mcqueen felicita a personaje,,,,
Mate se asusta,,,Mate habla,Personaje habla,,,,
Mate corre,,,La extraña les agradece,Mcqueen habla,,,,
Mcqueen va detras de el,,,La extraña les pide ir con ellos,Salen creditos,,,,
Salen creditos,,,La extraña habla,,,,,
,,,Mate habla,,,,,
,,,Mcqueen habla,,,,,
,,,Salen creditos,,,,,
